"MTU (CET/CEST)","Area","Sequence","Day-ahead Price (EUR/MWh)","Intraday Period (CET/CEST)","Intraday Price (EUR/MWh)"
"10/01/2025 21:00:00 - 10/01/2025 22:00:00","BZN|ES","Without sequence","122.51","",""
"10/01/2025 22:00:00 - 10/01/2025 23:00:00","BZN|ES","Without sequence","119.79","",""
"10/01/2025 23:00:00 - 11/01/2025 00:00:00","BZN|ES","Without sequence","112.0","",""
"11/01/2025 00:00:00 - 11/01/2025 01:00:00","BZN|ES","Without sequence","112.0","",""
"11/01/2025 01:00:00 - 11/01/2025 02:00:00","BZN|ES","Without sequence","100.61","",""
"11/01/2025 02:00:00 - 11/01/2025 03:00:00","BZN|ES","Without sequence","96.32","",""
"11/01/2025 03:00:00 - 11/01/2025 04:00:00","BZN|ES","Without sequence","84.49","",""
"11/01/2025 04:00:00 - 11/01/2025 05:00:00","BZN|ES","Without sequence","79.78","",""
"11/01/2025 05:00:00 - 11/01/2025 06:00:00","BZN|ES","Without sequence","84.1","",""
"11/01/2025 06:00:00 - 11/01/2025 07:00:00","BZN|ES","Without sequence","95.46","",""
"11/01/2025 07:00:00 - 11/01/2025 08:00:00","BZN|ES","Without sequence","84.9","",""
"11/01/2025 08:00:00 - 11/01/2025 09:00:00","BZN|ES","Without sequence","97.0","",""
"11/01/2025 09:00:00 - 11/01/2025 10:00:00","BZN|ES","Without sequence","105.53","",""
"11/01/2025 10:00:00 - 11/01/2025 11:00:00","BZN|ES","Without sequence","109.71","",""
"11/01/2025 11:00:00 - 11/01/2025 12:00:00","BZN|ES","Without sequence","87.14","",""
"11/01/2025 12:00:00 - 11/01/2025 13:00:00","BZN|ES","Without sequence","78.78","",""
"11/01/2025 13:00:00 - 11/01/2025 14:00:00","BZN|ES","Without sequence","70.0","",""
"11/01/2025 14:00:00 - 11/01/2025 15:00:00","BZN|ES","Without sequence","64.75","",""
"11/01/2025 15:00:00 - 11/01/2025 16:00:00","BZN|ES","Without sequence","60.3","",""
"11/01/2025 16:00:00 - 11/01/2025 17:00:00","BZN|ES","Without sequence","78.91","",""
"11/01/2025 17:00:00 - 11/01/2025 18:00:00","BZN|ES","Without sequence","113.3","",""
"11/01/2025 18:00:00 - 11/01/2025 19:00:00","BZN|ES","Without sequence","118.87","",""
"11/01/2025 19:00:00 - 11/01/2025 20:00:00","BZN|ES","Without sequence","123.55","",""
"11/01/2025 20:00:00 - 11/01/2025 21:00:00","BZN|ES","Without sequence","119.95","",""
"11/01/2025 21:00:00 - 11/01/2025 22:00:00","BZN|ES","Without sequence","116.2","",""
"11/01/2025 22:00:00 - 11/01/2025 23:00:00","BZN|ES","Without sequence","113.27","",""
"11/01/2025 23:00:00 - 12/01/2025 00:00:00","BZN|ES","Without sequence","106.1","",""
"12/01/2025 00:00:00 - 12/01/2025 01:00:00","BZN|ES","Without sequence","110.36","",""
"12/01/2025 01:00:00 - 12/01/2025 02:00:00","BZN|ES","Without sequence","97.57","",""
"12/01/2025 02:00:00 - 12/01/2025 03:00:00","BZN|ES","Without sequence","90.0","",""
"12/01/2025 03:00:00 - 12/01/2025 04:00:00","BZN|ES","Without sequence","85.91","",""
"12/01/2025 04:00:00 - 12/01/2025 05:00:00","BZN|ES","Without sequence","85.0","",""
"12/01/2025 05:00:00 - 12/01/2025 06:00:00","BZN|ES","Without sequence","85.2","",""
"12/01/2025 06:00:00 - 12/01/2025 07:00:00","BZN|ES","Without sequence","85.65","",""
"12/01/2025 07:00:00 - 12/01/2025 08:00:00","BZN|ES","Without sequence","79.63","",""
"12/01/2025 08:00:00 - 12/01/2025 09:00:00","BZN|ES","Without sequence","85.2","",""
"12/01/2025 09:00:00 - 12/01/2025 10:00:00","BZN|ES","Without sequence","77.24","",""
"12/01/2025 10:00:00 - 12/01/2025 11:00:00","BZN|ES","Without sequence","40.0","",""
"12/01/2025 11:00:00 - 12/01/2025 12:00:00","BZN|ES","Without sequence","12.17","",""
"12/01/2025 12:00:00 - 12/01/2025 13:00:00","BZN|ES","Without sequence","3.6","",""
