"MTU (CET/CEST)","Area","Sequence","Day-ahead Price (EUR/MWh)","Intraday Period (CET/CEST)","Intraday Price (EUR/MWh)"
"11/01/2022 15:00:00 - 11/01/2022 16:00:00","BZN|PT","Without sequence","206.8","",""
"11/01/2022 16:00:00 - 11/01/2022 17:00:00","BZN|PT","Without sequence","212.0","",""
"11/01/2022 17:00:00 - 11/01/2022 18:00:00","BZN|PT","Without sequence","242.47","",""
"11/01/2022 18:00:00 - 11/01/2022 19:00:00","BZN|PT","Without sequence","260.0","",""
"11/01/2022 19:00:00 - 11/01/2022 20:00:00","BZN|PT","Without sequence","261.97","",""
"11/01/2022 20:00:00 - 11/01/2022 21:00:00","BZN|PT","Without sequence","262.66","",""
"11/01/2022 21:00:00 - 11/01/2022 22:00:00","BZN|PT","Without sequence","245.0","",""
"11/01/2022 22:00:00 - 11/01/2022 23:00:00","BZN|PT","Without sequence","227.47","",""
"11/01/2022 23:00:00 - 12/01/2022 00:00:00","BZN|PT","Without sequence","211.63","",""
"12/01/2022 00:00:00 - 12/01/2022 01:00:00","BZN|PT","Without sequence","196.65","",""
"12/01/2022 01:00:00 - 12/01/2022 02:00:00","BZN|PT","Without sequence","187.1","",""
"12/01/2022 02:00:00 - 12/01/2022 03:00:00","BZN|PT","Without sequence","184.27","",""
"12/01/2022 03:00:00 - 12/01/2022 04:00:00","BZN|PT","Without sequence","179.58","",""
"12/01/2022 04:00:00 - 12/01/2022 05:00:00","BZN|PT","Without sequence","178.33","",""
"12/01/2022 05:00:00 - 12/01/2022 06:00:00","BZN|PT","Without sequence","190.14","",""
"12/01/2022 06:00:00 - 12/01/2022 07:00:00","BZN|PT","Without sequence","185.22","",""
"12/01/2022 07:00:00 - 12/01/2022 08:00:00","BZN|PT","Without sequence","200.22","",""
"12/01/2022 08:00:00 - 12/01/2022 09:00:00","BZN|PT","Without sequence","217.15","",""
"12/01/2022 09:00:00 - 12/01/2022 10:00:00","BZN|PT","Without sequence","205.41","",""
"12/01/2022 10:00:00 - 12/01/2022 11:00:00","BZN|PT","Without sequence","199.7","",""
"12/01/2022 11:00:00 - 12/01/2022 12:00:00","BZN|PT","Without sequence","196.66","",""
"12/01/2022 12:00:00 - 12/01/2022 13:00:00","BZN|PT","Without sequence","196.95","",""
