"MTU (CET/CEST)","Area","Sequence","Day-ahead Price (EUR/MWh)","Intraday Period (CET/CEST)","Intraday Price (EUR/MWh)"
"11/01/2024 02:00:00 - 11/01/2024 03:00:00","BZN|FR","Without sequence","87.25","",""
"11/01/2024 03:00:00 - 11/01/2024 04:00:00","BZN|FR","Without sequence","82.38","",""
"11/01/2024 04:00:00 - 11/01/2024 05:00:00","BZN|FR","Without sequence","80.6","",""
"11/01/2024 05:00:00 - 11/01/2024 06:00:00","BZN|FR","Without sequence","86.92","",""
"11/01/2024 06:00:00 - 11/01/2024 07:00:00","BZN|FR","Without sequence","99.36","",""
"11/01/2024 07:00:00 - 11/01/2024 08:00:00","BZN|FR","Without sequence","116.89","",""
"11/01/2024 08:00:00 - 11/01/2024 09:00:00","BZN|FR","Without sequence","141.0","",""
"11/01/2024 09:00:00 - 11/01/2024 10:00:00","BZN|FR","Without sequence","129.16","",""
"11/01/2024 10:00:00 - 11/01/2024 11:00:00","BZN|FR","Without sequence","113.65","",""
"11/01/2024 11:00:00 - 11/01/2024 12:00:00","BZN|FR","Without sequence","106.48","",""
"11/01/2024 12:00:00 - 11/01/2024 13:00:00","BZN|FR","Without sequence","99.38","",""
"11/01/2024 13:00:00 - 11/01/2024 14:00:00","BZN|FR","Without sequence","99.0","",""
"11/01/2024 14:00:00 - 11/01/2024 15:00:00","BZN|FR","Without sequence","105.98","",""
"11/01/2024 15:00:00 - 11/01/2024 16:00:00","BZN|FR","Without sequence","113.71","",""
"11/01/2024 16:00:00 - 11/01/2024 17:00:00","BZN|FR","Without sequence","106.55","",""
"11/01/2024 17:00:00 - 11/01/2024 18:00:00","BZN|FR","Without sequence","126.87","",""
"11/01/2024 18:00:00 - 11/01/2024 19:00:00","BZN|FR","Without sequence","136.72","",""
"11/01/2024 19:00:00 - 11/01/2024 20:00:00","BZN|FR","Without sequence","132.31","",""
"11/01/2024 20:00:00 - 11/01/2024 21:00:00","BZN|FR","Without sequence","117.93","",""
"11/01/2024 21:00:00 - 11/01/2024 22:00:00","BZN|FR","Without sequence","107.19","",""
"11/01/2024 22:00:00 - 11/01/2024 23:00:00","BZN|FR","Without sequence","100.0","",""
"11/01/2024 23:00:00 - 12/01/2024 00:00:00","BZN|FR","Without sequence","93.26","",""
"12/01/2024 00:00:00 - 12/01/2024 01:00:00","BZN|FR","Without sequence","88.98","",""
"12/01/2024 01:00:00 - 12/01/2024 02:00:00","BZN|FR","Without sequence","86.45","",""
"12/01/2024 02:00:00 - 12/01/2024 03:00:00","BZN|FR","Without sequence","84.99","",""
"12/01/2024 03:00:00 - 12/01/2024 04:00:00","BZN|FR","Without sequence","83.0","",""
"12/01/2024 04:00:00 - 12/01/2024 05:00:00","BZN|FR","Without sequence","83.14","",""
"12/01/2024 05:00:00 - 12/01/2024 06:00:00","BZN|FR","Without sequence","85.0","",""
"12/01/2024 06:00:00 - 12/01/2024 07:00:00","BZN|FR","Without sequence","90.94","",""
"12/01/2024 07:00:00 - 12/01/2024 08:00:00","BZN|FR","Without sequence","118.47","",""
"12/01/2024 08:00:00 - 12/01/2024 09:00:00","BZN|FR","Without sequence","140.74","",""
"12/01/2024 09:00:00 - 12/01/2024 10:00:00","BZN|FR","Without sequence","134.96","",""
"12/01/2024 10:00:00 - 12/01/2024 11:00:00","BZN|FR","Without sequence","122.01","",""
"12/01/2024 11:00:00 - 12/01/2024 12:00:00","BZN|FR","Without sequence","114.73","",""
